skill_id,district_id,sector,period,current_demand_count,anticipated_demand_count,demand_score,strength_tier,sample_size,recent_growth,source
SKILL_0234,Mumbai City,IT/Software - Data & AI,2025-09,6,0,0.0146,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0532,Mumbai City,IT/Software - Data & AI,2025-09,6,0,0.0146,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0642,Mumbai City,IT/Software - Data & AI,2025-09,6,0,0.0146,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0180,Mumbai City,IT/Software - Data & AI,2025-09,5,0,0.0122,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0184,Mumbai City,IT/Software - Data & AI,2025-09,5,0,0.0122,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0353,Mumbai City,IT/Software - Data & AI,2025-09,5,0,0.0122,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0436,Mumbai City,IT/Software - Data & AI,2025-09,5,0,0.0122,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0631,Mumbai City,IT/Software - Data & AI,2025-09,5,0,0.0122,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0072,Mumbai City,IT/Software - Data & AI,2025-09,4,0,0.0097,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0183,Mumbai City,IT/Software - Data & AI,2025-09,4,0,0.0097,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0207,Mumbai City,IT/Software - Data & AI,2025-09,4,0,0.0097,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0253,Mumbai City,IT/Software - Data & AI,2025-09,4,0,0.0097,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0320,Mumbai City,IT/Software - Data & AI,2025-09,4,0,0.0097,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0374,Mumbai City,IT/Software - Data & AI,2025-09,4,0,0.0097,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0446,Mumbai City,IT/Software - Data & AI,2025-09,4,0,0.0097,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0527,Mumbai City,IT/Software - Data & AI,2025-09,4,0,0.0097,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0572,Mumbai City,IT/Software - Data & AI,2025-09,4,0,0.0097,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0028,Mumbai City,IT/Software - Data & AI,2025-09,3,0,0.0073,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0219,Mumbai City,IT/Software - Data & AI,2025-09,3,0,0.0073,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0225,Mumbai City,IT/Software - Data & AI,2025-09,3,0,0.0073,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0268,Mumbai City,IT/Software - Data & AI,2025-09,3,0,0.0073,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0269,Mumbai City,IT/Software - Data & AI,2025-09,3,0,0.0073,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0277,Mumbai City,IT/Software - Data & AI,2025-09,3,0,0.0073,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0335,Mumbai City,IT/Software - Data & AI,2025-09,3,0,0.0073,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0396,Mumbai City,IT/Software - Data & AI,2025-09,3,0,0.0073,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0397,Mumbai City,IT/Software - Data & AI,2025-09,3,0,0.0073,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0408,Mumbai City,IT/Software - Data & AI,2025-09,3,0,0.0073,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0431,Mumbai City,IT/Software - Data & AI,2025-09,3,0,0.0073,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0632,Mumbai City,IT/Software - Data & AI,2025-09,3,0,0.0073,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0001,Mumbai City,IT/Software - Data & AI,2025-09,2,0,0.0049,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0031,Mumbai City,IT/Software - Data & AI,2025-09,2,0,0.0049,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0048,Mumbai City,IT/Software - Data & AI,2025-09,2,0,0.0049,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0135,Mumbai City,IT/Software - Data & AI,2025-09,2,0,0.0049,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0241,Mumbai City,IT/Software - Data & AI,2025-09,2,0,0.0049,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0246,Mumbai City,IT/Software - Data & AI,2025-09,2,0,0.0049,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0260,Mumbai City,IT/Software - Data & AI,2025-09,2,0,0.0049,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0336,Mumbai City,IT/Software - Data & AI,2025-09,2,0,0.0049,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0361,Mumbai City,IT/Software - Data & AI,2025-09,2,0,0.0049,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0392,Mumbai City,IT/Software - Data & AI,2025-09,2,0,0.0049,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0405,Mumbai City,IT/Software - Data & AI,2025-09,2,0,0.0049,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0417,Mumbai City,IT/Software - Data & AI,2025-09,2,0,0.0049,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0435,Mumbai City,IT/Software - Data & AI,2025-09,2,0,0.0049,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0605,Mumbai City,IT/Software - Data & AI,2025-09,2,0,0.0049,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0622,Mumbai City,IT/Software - Data & AI,2025-09,2,0,0.0049,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0636,Mumbai City,IT/Software - Data & AI,2025-09,2,0,0.0049,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0012,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0032,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0042,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0087,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0106,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0112,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0113,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0125,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0126,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0142,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0151,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
